HJD mag emag
2456507.49557602 13.251 0.01
2456484.67874153 13.239 0.01
2456509.54330404 13.261 0.011
2455806.59149225 13.258 0.012
2456115.59726817 13.259 0.011
2457113.90829559 13.268 0.011
2456527.63701619 13.248 0.011
2456373.87737575 13.26 0.011
2456089.68388841 13.268 0.011
2456197.53362009 13.261 0.011
2456560.54846487 13.252 0.011
2456127.53466249 13.241 0.011
2456195.53998833 13.237 0.011
2456129.66305532 13.244 0.011
2456126.59386375 13.253 0.011
2456102.57052638 13.275 0.011
2456487.7077296 13.268 0.011
2456196.52480044 13.239 0.011
2456461.66384021 13.273 0.012
2457268.51535307 13.29 0.011
2456717.88975518 13.279 0.011
2457274.52131034 13.25 0.011
2456141.60817285 13.264 0.011
2456534.60024225 13.256 0.011
2456094.64573887 13.271 0.011
2456130.6919066 13.229 0.011
2456155.52380353 13.258 0.011
2456367.81714336 13.298 0.012
2456114.5817467 13.262 0.011
2456112.71944072 13.295 0.012
2456559.50081556 13.28 0.012
2456095.61755661 13.248 0.011
2456370.88031696 13.26 0.012
2456799.65187058 13.258 0.012
2456366.82812411 13.282 0.012
2457241.6781982 13.311 0.013
2456798.81227452 13.209 0.011
2455780.70154508 13.258 0.012
2456144.51074063 13.317 0.013
2456799.62756197 13.242 0.014
2457273.55282982 13.327 0.014
2457253.60681892 13.29 0.014
2456583.48652096 13.219 0.013
2456507.55927067 13.257 0.013
2456125.66009827 13.228 0.012
2456158.68093695 13.217 0.013
2457226.633823 13.271 0.014
2455847.54621465 13.218 0.014
2456198.56201431 13.234 0.012
2456770.80960466 13.327 0.014
2456157.565304 13.259 0.013
2456779.9216732 13.172 0.014
2456128.67174937 13.351 0.017
2456365.82303491 13.216 0.018
