HJD mag emag
2455309.7589699 12.659 0.01
2455818.52390016 12.604 0.01
2456160.60001347 12.611 0.01
2456484.58745569 12.648 0.01
2456133.71639878 12.608 0.01
2456477.63061378 12.704 0.01
2456089.7007663 12.699 0.01
2456115.61282453 12.645 0.01
2455434.65834223 12.639 0.01
2456109.64102519 12.668 0.01
2456161.56627288 12.617 0.01
2456020.7677059 12.615 0.01
2456094.67810458 12.676 0.01
2456480.70307838 12.619 0.01
2456476.55561724 12.606 0.01
2455328.75649563 12.626 0.01
2456129.67719471 12.603 0.01
2456477.52743466 12.598 0.01
2456511.61833425 12.61 0.01
2456476.61999909 12.614 0.01
2456742.84715366 12.625 0.01
2456102.58549545 12.611 0.01
2456102.73475181 12.612 0.01
2456127.58678205 12.645 0.01
2456526.60220779 12.609 0.01
2457229.55223349 12.649 0.01
2456510.61628162 12.584 0.01
2457229.74547919 12.624 0.01
2456114.62605421 12.627 0.01
2456464.77626912 12.547 0.01
2456512.63053775 12.582 0.01
2455844.54941545 12.572 0.01
2456734.80947703 12.578 0.01
2456538.59069138 12.569 0.01
2456789.68879582 12.559 0.01
2456477.57984695 12.58 0.01
2456095.63274054 12.583 0.01
2456106.7700705 12.544 0.01
2456162.64197332 12.544 0.01
2456536.5384378 12.59 0.01
2456537.6098039 12.572 0.01
2456745.89754341 12.625 0.01
2456132.64440217 12.588 0.01
2456790.65793362 12.545 0.01
2456479.56274835 12.521 0.01
2456113.58834037 12.53 0.01
2456806.71366909 12.549 0.01
2455858.51018585 12.573 0.01
2456144.6836307 12.497 0.01
2456573.49646966 12.545 0.01
2456804.7066316 12.562 0.01
2457225.505621 12.531 0.01
2457273.56285804 12.531 0.01
2457242.60842835 12.562 0.01
